representation,layer,hand,split,n,r2,angular_error_deg,clf_accuracy
hidden_meanpool,9,minute,shuffled_labels,480,-0.20607228720630966,86.69935161632796,0.08125
hidden_meanpool,10,minute,shuffled_labels,480,-0.2099140863866138,86.01665286033725,0.08333333333333333
hidden_meanpool,11,minute,shuffled_labels,480,-0.2152236224413554,86.27469258295993,0.075
hidden_meanpool,12,minute,shuffled_labels,480,-0.2128446332973819,87.87955825279157,0.07291666666666667
hidden_meanpool,13,minute,shuffled_labels,480,-0.22529510947355336,87.70205412060022,0.07916666666666666
hidden_meanpool,14,minute,shuffled_labels,480,-0.2049417342328571,87.20705894331137,0.07083333333333333
hidden_meanpool,15,minute,shuffled_labels,480,-0.1969370788277226,86.00250454967221,0.07291666666666667
hidden_meanpool,16,minute,shuffled_labels,480,-0.2333428118306452,89.00180720353188,0.06666666666666667
hidden_meanpool,17,minute,shuffled_labels,480,-0.2010306283821105,85.53305901478355,0.08333333333333333
hidden_meanpool,18,minute,shuffled_labels,480,-0.20548981219956675,85.51010066022475,0.09166666666666666
hidden_meanpool,19,minute,shuffled_labels,480,-0.1864231016853809,85.65598285856346,0.08541666666666667
hidden_meanpool,20,minute,shuffled_labels,480,-0.15589739396222313,83.69464956671,0.07708333333333334
hidden_meanpool,21,minute,shuffled_labels,480,-0.17312314406615092,85.27548892870546,0.07916666666666666
hidden_meanpool,22,minute,shuffled_labels,480,-0.16019058384883234,82.69609137599667,0.07708333333333334
hidden_meanpool,23,minute,shuffled_labels,480,-0.17976147397062947,83.21135524489607,0.07708333333333334
hidden_meanpool,24,minute,shuffled_labels,480,-0.20429711239710058,87.00240798857219,0.08125
hidden_meanpool,25,minute,shuffled_labels,480,-0.20224738732251957,86.68353354794284,0.075
hidden_meanpool,26,minute,shuffled_labels,480,-0.1883301772803847,85.10006858160098,0.075
hidden_meanpool,27,minute,shuffled_labels,480,-0.17511214812039577,85.37613706638416,0.07916666666666666
hidden_meanpool,28,minute,shuffled_labels,480,-0.1617202796103273,85.25052197429662,0.07083333333333333
hidden_meanpool,29,minute,shuffled_labels,480,-0.17468161831722917,85.74542807666585,0.0875
hidden_meanpool,30,minute,shuffled_labels,480,-0.16729614504231527,85.755008116867,0.08125
hidden_meanpool,31,minute,shuffled_labels,480,-0.1777772643445561,86.29993617131065,0.09375
hidden_meanpool,32,minute,shuffled_labels,480,-0.21148869909789936,89.83674903766563,0.08958333333333333
hidden_meanpool,33,minute,shuffled_labels,480,-0.21230652040110676,89.51905180414518,0.08125
hidden_meanpool,34,minute,shuffled_labels,480,-0.20169848091810028,87.2202803949515,0.08541666666666667
hidden_meanpool,35,minute,shuffled_labels,480,-0.19530782801722157,86.56014957359682,0.075
hidden_meanpool,36,minute,shuffled_labels,480,-0.20400321026936008,88.49083163765802,0.07291666666666667
hidden_meanpool,0,hour,shuffled_labels,480,-0.29711561490660787,93.61379564385861,0.0875
hidden_meanpool,1,hour,shuffled_labels,480,-0.2833599010082377,92.41467859347661,0.075
