representation,layer,hand,split,n,r2,angular_error_deg,clf_accuracy
hidden_meanpool,9,minute,all,480,0.9663120835644704,5.48935968602697,0.96875
hidden_meanpool,9,minute,correct,12,-2.7292473666464165e+30,5.722224906086922,1.0
hidden_meanpool,9,minute,wrong,468,0.9665032565497658,5.48338878294851,0.967948717948718
hidden_meanpool,10,minute,all,480,0.9668396627648174,5.537284428393468,0.9645833333333333
hidden_meanpool,10,minute,correct,12,-3.290009971725954e+30,5.7408430476983385,1.0
hidden_meanpool,10,minute,wrong,468,0.9671112166910927,5.532064976616421,0.9636752136752137
hidden_meanpool,11,minute,all,480,0.9693382254623456,5.54524210045735,0.9583333333333334
hidden_meanpool,11,minute,correct,12,-2.55944612464089e+30,5.392675956090291,1.0
hidden_meanpool,11,minute,wrong,468,0.9694447841591645,5.549154052877019,0.9572649572649573
hidden_meanpool,12,minute,all,480,0.9653280229646924,5.832574767743548,0.95625
hidden_meanpool,12,minute,correct,12,-3.036222096652454e+30,5.35476387043794,1.0
hidden_meanpool,12,minute,wrong,468,0.9653877175244336,5.844826329212922,0.9551282051282052
hidden_meanpool,13,minute,all,480,0.9600470918262052,6.245454266201706,0.9583333333333334
hidden_meanpool,13,minute,correct,12,-3.908848732543779e+30,5.572839230298996,1.0
hidden_meanpool,13,minute,wrong,468,0.9601256791700947,6.262700805583825,0.9572649572649573
hidden_meanpool,14,minute,all,480,0.9604350454162167,6.0341033433874465,0.9604166666666667
hidden_meanpool,14,minute,correct,12,-3.221525956835329e+30,6.098145365715027,1.0
hidden_meanpool,14,minute,wrong,468,0.9604698347193645,6.032461240250842,0.9594017094017094
hidden_meanpool,15,minute,all,480,0.9611060496092112,5.994246396049857,0.9604166666666667
hidden_meanpool,15,minute,correct,12,-3.9018853135210743e+30,5.939918980002403,1.0
hidden_meanpool,15,minute,wrong,468,0.9613981701812299,5.995639406717741,0.9594017094017094
hidden_meanpool,16,minute,all,480,0.9659158812890924,5.716315406188369,0.9666666666666667
hidden_meanpool,16,minute,correct,12,-5.019247159647186e+30,8.129739850759506,1.0
hidden_meanpool,16,minute,wrong,468,0.9664573944404342,5.654432728122442,0.9658119658119658
hidden_meanpool,17,minute,all,480,0.9622905855290692,6.0736368333299975,0.9625
hidden_meanpool,17,minute,correct,12,-2.5739274050166985e+30,5.663222064574559,1.0
hidden_meanpool,17,minute,wrong,468,0.9624845949611471,6.0841602889391115,0.9615384615384616
hidden_meanpool,18,minute,all,480,0.9592567345963363,6.292027615755798,0.9604166666666667
hidden_meanpool,18,minute,correct,12,-3.5622455392409253e+30,7.700039078791936,1.0
hidden_meanpool,18,minute,wrong,468,0.959726615609399,6.255924757729229,0.9594017094017094
hidden_meanpool,19,minute,all,480,0.9618131583608647,6.20372284644594,0.9583333333333334
hidden_meanpool,19,minute,correct,12,-3.143220389382231e+30,5.600786283612251,1.0
hidden_meanpool,19,minute,wrong,468,0.9621686896849808,6.219182758313471,0.9572649572649573
hidden_meanpool,20,minute,all,480,0.9669453022407518,5.515136088679234,0.9666666666666667
hidden_meanpool,20,minute,correct,12,-2.4454680555622677e+30,6.625205556551616,1.0
hidden_meanpool,20,minute,wrong,468,0.9671386275160079,5.486672768990199,0.9658119658119658
hidden_meanpool,21,minute,all,480,0.9651237863929836,5.435454393023004,0.9666666666666667
hidden_meanpool,21,minute,correct,12,-1.900253385753492e+30,5.667859256267548,1.0
hidden_meanpool,21,minute,wrong,468,0.9653377747330054,5.429495293965452,0.9658119658119658
hidden_meanpool,22,minute,all,480,0.9630180348647244,5.582760920841248,0.9729166666666667
hidden_meanpool,22,minute,correct,12,-2.500829161049775e+30,6.554398735364278,1.0
hidden_meanpool,22,minute,wrong,468,0.9630924582777791,5.557847130725273,0.9722222222222222
hidden_meanpool,23,minute,all,480,0.9601619882346122,5.9695842594684425,0.9770833333333333
hidden_meanpool,23,minute,correct,12,-3.1871387416740434e+30,7.3687127232551575,1.0
hidden_meanpool,23,minute,wrong,468,0.9604495203135218,5.9337091706533975,0.9764957264957265
hidden_meanpool,24,minute,all,480,0.9609566411355948,5.948036590591073,0.9770833333333333
hidden_meanpool,24,minute,correct,12,-3.9620335135862656e+30,7.704241514205933,1.0
hidden_meanpool,24,minute,wrong,468,0.9614697078834149,5.903005695113769,0.9764957264957265
hidden_meanpool,25,minute,all,480,0.9596251033047712,6.095600658220549,0.9770833333333333
hidden_meanpool,25,minute,correct,12,-4.0511279289458103e+30,7.514139033854008,1.0
hidden_meanpool,25,minute,wrong,468,0.9599382681278122,6.059227879358152,0.9764957264957265
hidden_meanpool,26,minute,all,480,0.9594569539986489,6.1526388351495065,0.96875
hidden_meanpool,26,minute,correct,12,-4.116285315654959e+30,8.126500735680262,1.0
hidden_meanpool,26,minute,wrong,468,0.9602540128549562,6.102026991546153,0.967948717948718
hidden_meanpool,27,minute,all,480,0.9588710911826266,6.209435073142716,0.9770833333333333
hidden_meanpool,27,minute,correct,12,-3.389008877134993e+30,7.349602778752645,1.0
hidden_meanpool,27,minute,wrong,468,0.9593051582241587,6.180200003768102,0.9764957264957265
